id,scenario,persona,additional_context,question,option_a,option_b,option_c,option_d,correct_answer,reasoning,menu_items_referenced,created_at,rating,feedback_notes
Q_175445_902,Dessert Ingredient Awareness,Seafood Aficionado,A guest is allergic to dairy and wants to know about alternatives for cream or milk in drinks.,"A seafood-loving guest with a dairy allergy wants a dessert drink.  Considering their dietary restrictions and preferences, which menu item offers the safest and most suitable base for a dairy-free alternative drink?",Cashew Pea Bisque,Beet Salad,Vegetarian Beet Salad,None of the above,A,"The Cashew Pea Bisque contains cashew butter, a nut-based ingredient that can be used to create a creamy dairy-free drink base, unlike the Beet Salad which contains dairy. The Vegetarian Beet Salad is not specified.","Cashew Pea Bisque, Beet Salad, Vegetarian Beet Salad",17:54:45,5,best
Q_175519_169,Special Occasion Menu Suggestions,Shellfish Allergy Guest,A guest is gluten-intolerant but wants to try a signature pastry—asks for alternatives.,A guest with a shellfish allergy and gluten intolerance wants a dessert alternative to the signature Halo pastry.  Which dessert option is both safe and aligns with their preference for a unique dessert experience?,"Chill dessert, due to its lack of gluten and shellfish.","Halo dessert, as it can be modified to exclude shellfish.","Nori Vinegar Dusted Fries, as a savory alternative.",No suitable alternative exists on the menu.,A,"The Chill dessert contains no shellfish or gluten, making it the only safe and suitable alternative for the guest.","Chill, Halo, Nori Vinegar Dusted Fries",17:55:19,4,Good
Q_175936_372,Culinary Technique Awareness,Sweet Tooth Guest,A local food blogger is visiting to review the latest menu additions and seeks visually appealing plates.,A sweet-toothed food blogger is reviewing your new menu.  They're impressed by the Pacific Coast Mint Tea's visual appeal but want a savory option to photograph alongside it that complements the tea's refreshing nature. Which brunch dish would best satisfy their needs and create a visually appealing contrast?,"Frittata Style Omelette (Wild Mushroom, Aged Cheddar, Chive, Tarragon)","Frittata Style Omelette (Spanish Ham, Potato, Onion, Peas, Chevre, Romesco)",Both omelette options would be equally suitable.,Neither omelette option would complement the tea visually.,A,"The Frittata Style Omelette (Wild Mushroom, Aged Cheddar, Chive, Tarragon) offers a lighter color palette and earthy tones that create a visually appealing contrast with the bright green of the Pacific Coast Mint Tea. The other option is too visually heavy.","Pacific Coast Mint Tea, Frittata Style Omelettes",17:59:36,5,Best
Q_180013_729,Ingredient Knowledge,Gluten-Free Guest,A local food blogger is visiting to review the latest menu additions and seeks visually appealing plates.,"A gluten-free food blogger is reviewing your new brunch menu.  They want visually appealing dishes, but are gluten-free. Which option best suits their needs and dietary restrictions, considering the menu's ingredients and allergens?",Spicy Tuna Proscciutto Pizza (without prosciutto),Spicy Tuna Proscciutto Pizza,Truffle Mac and Cheese,Both the Spicy Tuna Proscciutto Pizza and Truffle Mac and Cheese,A,"The Spicy Tuna Proscciutto Pizza, excluding the prosciutto (which contains pork and is therefore not gluten-free), avoids all listed allergens and provides a visually appealing presentation with bubu arare, avocado, tomato relish, and bottarga. Truffle Mac and Cheese contains gluten in the macaroni.","Spicy Tuna Proscciutto Pizza, Truffle Mac and Cheese",18:00:13,4,Repeated content
Q_180054_233,Special Occasion Menu Suggestions,Shellfish Allergy Guest,A guest is in town for a festival and asks for event-themed menu items.,A guest with a shellfish allergy is in town for a festival and wants event-themed menu items.  Which combination BEST accommodates their allergy while offering a festival experience?,Sautéed Mushroom Mix and a non-fish sushi roll (if available),Crispy Salmon Skin Roll and Sautéed Mushroom Mix,Crispy Salmon Skin Roll (requesting removal of aioli),"Any dish without explicit shellfish, assuming cross-contamination is managed.",A,"The Sautéed Mushroom Mix avoids shellfish.  A non-fish sushi roll (if available) would also be safe, avoiding the fish-based Crispy Salmon Skin Roll's allergens.","Crispy Salmon Skin Roll, Sautéed Mushroom Mix",18:00:54,4,Good
Q_180146_710,Special Occasion Menu Suggestions,Pescatarian Diner,A guest prefers spicy foods and asks for the boldest flavor options.,"A pescatarian guest who loves spicy food requests the most flavorful option from the menu.  Given their dietary restrictions and preference, which combination best suits them?",No entrée suggestion; offer a spicy preparation of a seafood dish (not listed).,Shimane Prefecture A5 Wagyu Beef with Foie Butter (despite the dairy allergy).,"Seared Foie Gras with a focus on the hickory smoked sea salt, explaining soy content.","Suggest only the Foie Butter as a stand-alone dish, emphasizing the Goma Shio Furikake.",A,"The guest is pescatarian, eliminating the Wagyu beef.  Both Foie Gras options contain soy or dairy, violating their dietary needs.  Therefore, creating a spicy seafood dish (not on the menu) is the only suitable option.","Shimane Prefecture A5 Wagyu Beef, Seared Foie Gras, Foie Butter",18:01:46,3,Unexpected texts in options
Q_180311_684,Ingredient Knowledge,Shellfish Allergy Guest,A vegetarian guest wants to know which items are strictly plant-based and how they are prepared.,A vegetarian guest with a shellfish allergy asks about plant-based options.  Which side dish and beverage are safe for them?,Spring Vegetables and Pacific Coast Mint Tea,Spring Vegetables and Avocado Croissant,Miso Celeriac Puree and Pacific Coast Mint Tea,Grilled Asparagus and Avocado Croissant,A,"Spring Vegetables contains no shellfish or other allergens listed. Pacific Coast Mint Tea also contains no allergens.  Avocado Croissant is not vegetarian due to the presence of dairy and potentially other non-vegetarian components. Miso Celeriac Puree contains soy, an allergen.","Spring Vegetables, Pacific Coast Mint Tea, Avocado Croissant, Miso Celeriac Puree",18:03:11,5,Best
Q_180339_762,Vegan Ingredient Awareness,Seasonal Ingredient Seeker,A guest is interested in non-alcoholic drink pairings for their meal.,"A guest seeking seasonal, non-alcoholic pairings is considering the Spring Vegetables and Beet Salad.  Given their avoidance of soy and nightshades, which pairing is BEST?",Spring Vegetables with a request for a substitution of the Miso Celeriac Puree for an alternative,Beet Salad with a request to omit the Pickled Shallots,"Both dishes, requesting omission of all soy and nightshade ingredients","Neither dish, as both contain allergens.",A,"The Spring Vegetables, with the Miso Celeriac Puree substituted, avoids soy and nightshades, unlike the Beet Salad which contains pickled shallots (nightshade).","Spring Vegetables, Beet Salad",18:03:39,5,Best
Q_180408_556,Special Occasion Menu Suggestions,Sweet & Savory Fan,A family is dining with young children and is looking for caffeine-free and sweet menu options.,"A family with young children, who enjoy both sweet and savory flavors and need caffeine-free options, approaches you.  Which combination best suits their needs?",Roasted Cauliflower Steak (requesting the Kanzuri oil be omitted) and a side of baby carrots.,Spanish Ham & Potato Frittata Omelette and a glass of orange juice.,Wild Mushroom Frittata Omelette and a side of baby carrots.,Roasted Cauliflower Steak and the Spanish Ham & Potato Frittata Omelette.,A,"The Roasted Cauliflower Steak caters to the savory preference,  omission of Kanzuri oil avoids potential onion allergy, and the baby carrots offer a sweet element.  The other options either contain caffeine (orange juice) or aren't entirely suitable for young children (ham).","Roasted Cauliflower Steak, Frittata Style Omelettes",18:04:08,5,Best
Q_180432_323,Allergy Menu Navigation,Mediterranean Food Explorer,A guest asks for small portions to try several things.,"A Mediterranean food explorer wants to sample various dishes in small portions. They are dairy-free. Which combination best suits their preferences, considering their dietary needs and desire for variety?",Matcha Tea and a small portion of Wild Mushroom Wellington,Matcha Tea and a small portion of Smoked Venison Tenderloin,A full portion of Smoked Venison Tenderloin,A full portion of Wild Mushroom Wellington,A,"Matcha Tea is dairy-free and complements the Wild Mushroom Wellington, which is also dairy-free.  Option A is the only option that provides a dairy-free combination suitable for tasting multiple dishes in smaller portions.","Matcha Tea, Smoked Venison Tenderloin, Wild Mushroom Wellington",18:04:32,5,Best
